severity,type,slug,entryId,titleZh,cueId,time,en,zh,details
medium,starts_with_punctuation,allocating-a-data-set,1_mf7bsgi9,配置資料集,3,00:00:19.440 --> 00:00:21.440,"well, a dataset is just a file.",「資料集不過是一個檔案。」,Chinese cue starts with punctuation
medium,starts_with_punctuation,allocating-a-data-set,1_mf7bsgi9,配置資料集,40,00:04:16.440 --> 00:04:20.440,"$32 for pizza? That's a little ridiculous, right?",$32 for pizza？這有點荒謬，對吧？,Chinese cue starts with punctuation
medium,long_zh_cue,allocating-a-data-set,1_mf7bsgi9,配置資料集,42,00:04:25.440 --> 00:04:35.440,"So, i.sure.do.love.this.awesome.system is a valid dataset name, because it has less than 44 characters total.","i.sure.do.love.this.awesome.system
是有效的資料集名稱，因為總長度不到44個字元。",ZH length 57; 5.7 chars/sec
medium,near_duplicate_previous_zh_cue,creating-editing-and-displaying-members-in-ispf,1_tfpzz00p,在 ISPF 中建立、編輯與顯示成員,9,00:00:36.740 --> 00:00:39.780,dataset name into the field below it.,你也可以直接在下方欄位輸入完整的資料集名稱。,Similar to previous cue 8
medium,long_zh_cue,creating-editing-and-displaying-members-in-ispf,1_tfpzz00p,在 ISPF 中建立、編輯與顯示成員,29,00:01:57.860 --> 00:02:06.860,"In this example, there are six members in the dataset i-n-s-t-j-r-g-dot-e-s-ten-dot-p-d-s.","範例中，dataset i-n-s-t-j-r-g-dot-e-s-ten-dot
-p-d-s 有六個成員。",ZH length 52; 5.8 chars/sec
medium,possibly_merged_zh_cue,introduction-to-exercise-2,1_q62zrx6d,練習 2 介紹,4,00:00:23.750 --> 00:00:26.750,All set? Let's get allocating.,準備好了嗎？我們開始分配吧。,Chinese cue has multiple sentence endings in a short time window
medium,long_zh_cue,introduction-to-tso-and-ispf,1_vgfp9zxt,TSO 與 ISPF 入門,2,00:00:09.500 --> 00:00:16.460,"ISPF is the Interactive System Productivity Facility, and TSO is the time-sharing option.","ISPF 是 Interactive System Productivity
Facility，TSO 是 time-sharing option。",ZH length 66; 9.5 chars/sec
medium,long_zh_cue,introduction-to-tso-and-ispf,1_vgfp9zxt,TSO 與 ISPF 入門,5,00:00:26.380 --> 00:00:33.180,"We just talked about ISPF, and I told you that it stands for the Interactive System Productivity Facility.","剛剛提到 ISPF，我說它代表 Interactive System
Productivity Facility。",ZH length 52; 7.6 chars/sec
medium,long_zh_cue,introduction-to-tso-and-ispf,1_vgfp9zxt,TSO 與 ISPF 入門,7,00:00:40.540 --> 00:00:48.700,"It's always just been ISPF, and you'll probably never hear anybody say time-sharing option either, it's just TSO.","它總是叫 ISPF，你也幾乎不會聽到有人說 time-sharing option，
都是叫 TSO。",ZH length 46; 5.6 chars/sec
medium,semantic_neighbor_drift,introduction-to-tso-and-ispf,1_vgfp9zxt,TSO 與 ISPF 入門,41,00:03:14.220 --> 00:03:18.220,Perform is there in case you want to associate your TSO session,"Perform 是用來將您的 TSO 工作階段關聯到一組效能特性，這對 WLM
很有幫助。","ZH contains WLM, but EN cue 42 contains that term"
medium,long_zh_cue,introduction-to-tso-and-ispf,1_vgfp9zxt,TSO 與 ISPF 入門,65,00:04:42.700 --> 00:04:46.540,"You can use this to enter data using your Operator Identification card,","你可以用它來輸入資料，前提是你有Operator Identification
card。",ZH length 43; 11.2 chars/sec
medium,long_zh_cue,lab-system-familiarization,1_599iixml,Lab：熟悉系統,14,00:01:07.550 --> 00:01:13.910,looks something like this with the green box and the course lab kit up here. This,"就是你和系統的連接介面，裡面有三個重要的部分我要介紹給你。首先是上方的實驗套件。
這個連結在系統準備好之前",ZH length 52; 8.2 chars/sec
medium,possibly_merged_zh_cue,lab-system-familiarization,1_599iixml,Lab：熟悉系統,32,00:02:39.830 --> 00:02:43.310,probably just have to wait a little while for it to come back online. No big,那你可能得稍微等一下，讓它重新上線。沒什麼大不了的。,Chinese cue has multiple sentence endings in a short time window
medium,long_zh_cue,tso-commands-part-1,1_slqjkgxp,TSO 命令 - 第 1 部分,44,00:03:09.410 --> 00:03:17.410,"So you can type help list ds operands, and you'll get a listing of all the operands for the list ds command.","所以你可以輸入 help list ds operands，就會取得 list
ds 指令所有運算子的清單。",ZH length 47; 5.9 chars/sec
medium,long_zh_cue,tso-commands-part-2,1_wrv2aloe,TSO 命令 - 第 2 部分,47,00:02:06.900 --> 00:02:08.520,It's important to realize the difference,了解 free 和 delete 的差別很重要，,ZH length 20; 12.3 chars/sec
low,near_duplicate_next_zh_cue,creating-editing-and-displaying-members-in-ispf,1_tfpzz00p,在 ISPF 中建立、編輯與顯示成員,8,00:00:32.140 --> 00:00:36.740,"And again, you can see here you can use the handy three fields, or you can enter the full",你可以使用方便的三個欄位，也可以直接在下方欄位輸入完整資料集名稱。,Similar to next cue 9